Time,Number,S_Lat,S_Long,Bandwidth,CodingRate,Frequency,SpreadingFactor,TxPower,PacketRSSI,RSSI,SNR,R_Lat,R_Long
02:33:35,357,-31.977680,115.816139,250000,5,915000000,12,20,-65,-131,10.00,-31.977531,115.815842
02:33:36,358,-31.977674,115.816139,250000,5,915000000,12,20,-69,-130,8.50,-31.977531,115.815842
02:33:38,359,-31.977663,115.816124,250000,5,915000000,12,20,-69,-130,9.50,-31.977531,115.815842
02:33:42,360,-31.977659,115.816124,250000,5,915000000,12,20,-82,-130,9.00,-31.977531,115.815842
02:33:44,361,-31.977674,115.816177,250000,5,915000000,12,20,-87,-103,8.25,-31.977531,115.815842
02:33:46,362,-31.977655,115.816231,250000,5,915000000,12,20,-87,-100,9.00,-31.977531,115.815842
02:33:48,363,-31.977608,115.816254,250000,5,915000000,12,20,-93,-131,8.00,-31.977531,115.815842
02:33:49,364,-31.977608,115.816254,250000,5,915000000,12,20,-95,-106,7.00,-31.977531,115.815842
02:33:51,365,-31.977383,115.816376,250000,5,915000000,12,20,-101,-130,4.25,-31.977531,115.815842
02:33:53,366,-31.977386,115.816360,250000,5,915000000,12,20,-99,-105,5.75,-31.977531,115.815842
02:33:57,367,-31.977385,115.816376,250000,5,915000000,12,20,-99,-104,5.75,-31.977531,115.815842
02:33:59,368,-31.977385,115.816376,250000,5,915000000,12,20,-98,-130,6.00,-31.977531,115.815842
02:34:01,369,-31.977398,115.816490,250000,5,915000000,12,20,-99,-104,3.00,-31.977531,115.815842
02:34:02,370,-31.977417,115.816452,250000,5,915000000,12,20,-96,-105,7.25,-31.977531,115.815842
02:34:04,371,-31.977407,115.816444,250000,5,915000000,12,20,-94,-104,7.00,-31.977531,115.815842
02:34:06,372,-31.977400,115.816460,250000,5,915000000,12,20,-103,-110,1.50,-31.977531,115.815842
02:34:10,373,-31.977488,115.816444,250000,5,915000000,12,20,-97,-102,5.50,-31.977531,115.815842
02:34:12,374,-31.977568,115.816490,250000,5,915000000,12,20,-100,-130,3.75,-31.977531,115.815842
02:34:14,375,-31.977585,115.816483,250000,5,915000000,12,20,-105,-105,-1.75,-31.977531,115.815842
02:34:16,376,-31.977602,115.816505,250000,5,915000000,12,20,-102,-100,1.75,-31.977531,115.815842
02:34:17,377,-31.977600,115.816551,250000,5,915000000,12,20,-90,-83,-13.50,-31.977531,115.815842
02:34:19,378,-31.977585,115.816574,250000,5,915000000,12,20,-98,-101,-5.25,-31.977531,115.815842
02:34:23,379,-31.977446,115.816490,250000,5,915000000,12,20,-92,-87,-17.00,-31.977531,115.815842
02:34:25,380,-31.977465,115.816490,250000,5,915000000,12,20,-98,-100,-7.50,-31.977531,115.815842
02:34:27,381,-31.977579,115.816536,250000,5,915000000,12,20,-93,-92,-6.75,-31.977531,115.815842
02:34:29,382,-31.977598,115.816528,250000,5,915000000,12,20,-97,-90,-11.25,-31.977531,115.815842
02:34:30,383,-31.977627,115.816536,250000,5,915000000,12,20,-98,-130,-6.50,-31.977531,115.815842
02:34:32,384,-31.977613,115.816505,250000,5,915000000,12,20,-99,-94,-5.00,-31.977531,115.815842
02:34:36,385,-31.977667,115.816444,250000,5,915000000,12,20,-100,-100,0.75,-31.977531,115.815842
02:34:40,387,-31.977654,115.816513,250000,5,915000000,12,20,-94,-100,6.75,-31.977531,115.815842
02:34:42,388,-31.977571,115.816658,250000,5,915000000,12,20,-98,-100,4.50,-31.977531,115.815842
02:34:43,389,-31.977324,115.816612,250000,5,915000000,12,20,-97,-101,6.25,-31.977531,115.815842
02:34:45,390,-31.977211,115.816299,250000,5,915000000,12,20,-96,-104,7.25,-31.977531,115.815842
02:34:47,391,-31.977211,115.816299,250000,5,915000000,12,20,-94,-107,8.00,-31.977531,115.815842
02:34:51,392,-31.977211,115.816299,250000,5,915000000,12,20,-95,-131,7.75,-31.977531,115.815842
02:34:53,393,-31.977211,115.816299,250000,5,915000000,12,20,-93,-130,8.75,-31.977531,115.815842
02:34:55,394,-31.977625,115.816338,250000,5,915000000,12,20,-82,-102,10.25,-31.977531,115.815842
02:34:56,395,-31.977724,115.816345,250000,5,915000000,12,20,-91,-98,7.50,-31.977531,115.815842
02:34:58,396,-31.977743,115.816353,250000,5,915000000,12,20,-89,-130,10.00,-31.977531,115.815842
02:35:00,397,-31.977755,115.816368,250000,5,915000000,12,20,-94,-106,7.75,-31.977531,115.815842
02:35:04,398,-31.977762,115.816376,250000,5,915000000,12,20,-91,-103,8.50,-31.977531,115.815842
02:35:06,399,-31.977766,115.816406,250000,5,915000000,12,20,-89,-100,10.25,-31.977531,115.815842
02:35:08,400,-31.977596,115.816170,250000,5,915000000,12,20,-81,-106,11.50,-31.977531,115.815842
02:35:09,401,-31.977148,115.815643,250000,5,915000000,12,20,-81,-102,10.50,-31.977531,115.815842
02:35:11,402,-31.976851,115.815361,250000,5,915000000,12,20,-80,-109,11.50,-31.977531,115.815842
02:35:13,403,-31.976851,115.815361,250000,5,915000000,12,20,-81,-107,11.50,-31.977531,115.815842
02:35:17,404,-31.976851,115.815361,250000,5,915000000,12,20,-83,-102,10.00,-31.977531,115.815842
02:35:19,405,-31.976851,115.815361,250000,5,915000000,12,20,-91,-104,9.50,-31.977531,115.815842
02:35:21,406,-31.976851,115.815361,250000,5,915000000,12,20,-80,-130,10.25,-31.977531,115.815842
02:35:23,407,-31.976851,115.815361,250000,5,915000000,12,20,-92,-130,9.00,-31.977531,115.815842
02:35:24,408,-31.976851,115.815361,250000,5,915000000,12,20,-90,-130,9.00,-31.977531,115.815842
02:35:26,409,-31.976851,115.815361,250000,5,915000000,12,20,-82,-96,9.75,-31.977531,115.815842
02:35:30,410,-31.976851,115.815361,250000,5,915000000,12,20,-87,-100,9.25,-31.977531,115.815842
02:35:32,411,-31.976851,115.815361,250000,5,915000000,12,20,-79,-100,11.25,-31.977531,115.815842
02:35:34,412,-31.976851,115.815361,250000,5,915000000,12,20,-86,-102,10.25,-31.977531,115.815842
02:35:36,413,-31.976851,115.815361,250000,5,915000000,12,20,-80,-104,11.00,-31.977531,115.815842
02:35:38,414,-31.976851,115.815361,250000,5,915000000,12,20,-84,-101,12.00,-31.977531,115.815842
02:35:39,415,-31.976851,115.815361,250000,5,915000000,12,20,-78,-101,10.25,-31.977531,115.815842
02:35:41,416,-31.976851,115.815361,250000,5,915000000,12,20,-84,-130,10.00,-31.977531,115.815842
02:35:45,417,-31.976851,115.815361,250000,5,915000000,12,20,-74,-130,11.25,-31.977531,115.815842
02:35:47,418,-31.976851,115.815361,250000,5,915000000,12,20,-74,-102,11.50,-31.977531,115.815842
02:35:49,419,-31.976851,115.815361,250000,5,915000000,12,20,-74,-130,11.50,-31.977531,115.815842
02:35:50,420,-31.976851,115.815361,250000,5,915000000,12,20,-78,-105,9.00,-31.977531,115.815842
02:35:52,421,-31.976851,115.815361,250000,5,915000000,12,20,-88,-101,9.50,-31.977531,115.815842
02:35:54,422,-31.976851,115.815361,250000,5,915000000,12,20,-79,-106,11.00,-31.977531,115.815842
02:35:58,423,-31.976851,115.815361,250000,5,915000000,12,20,-78,-104,8.75,-31.977531,115.815842
02:36:00,424,-31.976851,115.815361,250000,5,915000000,12,20,-84,-130,10.25,-31.977531,115.815842
